Timeline Trace
Generated on: 2020-10-17 05:35:38
Msec since Epoch: 1602912938748
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
138.606508,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
138.653846,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
138.663224,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
138.66875,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
138.675367,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
138.680528,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
138.685809,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
138.690137,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
138.696993,clGetPlatformInfo|General,START,,,,,,,,,,,4,
138.702567,clGetPlatformInfo|General,END,,,,,,,,,,,4,
138.707022,clGetPlatformInfo|General,START,,,,,,,,,,,5,
138.71171,clGetPlatformInfo|General,END,,,,,,,,,,,5,
138.723193,clGetPlatformInfo|General,START,,,,,,,,,,,6,
138.728281,clGetPlatformInfo|General,END,,,,,,,,,,,6,
138.732648,clGetPlatformInfo|General,START,,,,,,,,,,,7,
138.737133,clGetPlatformInfo|General,END,,,,,,,,,,,7,
138.741381,clGetPlatformInfo|General,START,,,,,,,,,,,8,
138.746129,clGetPlatformInfo|General,END,,,,,,,,,,,8,
138.750523,clGetPlatformInfo|General,START,,,,,,,,,,,9,
138.755054,clGetPlatformInfo|General,END,,,,,,,,,,,9,
138.759365,clGetPlatformInfo|General,START,,,,,,,,,,,10,
138.763924,clGetPlatformInfo|General,END,,,,,,,,,,,10,
138.768208,clGetPlatformInfo|General,START,,,,,,,,,,,11,
138.772662,clGetPlatformInfo|General,END,,,,,,,,,,,11,
138.777047,clGetPlatformInfo|General,START,,,,,,,,,,,12,
138.781719,clGetPlatformInfo|General,END,,,,,,,,,,,12,
138.786005,clGetPlatformInfo|General,START,,,,,,,,,,,13,
138.790446,clGetPlatformInfo|General,END,,,,,,,,,,,13,
138.794738,clGetPlatformInfo|General,START,,,,,,,,,,,14,
138.799216,clGetPlatformInfo|General,END,,,,,,,,,,,14,
138.803509,clGetPlatformInfo|General,START,,,,,,,,,,,15,
138.80797,clGetPlatformInfo|General,END,,,,,,,,,,,15,
138.821989,clGetPlatformInfo|General,START,,,,,,,,,,,16,
138.827112,clGetPlatformInfo|General,END,,,,,,,,,,,16,
138.831724,clGetPlatformInfo|General,START,,,,,,,,,,,17,
138.836166,clGetPlatformInfo|General,END,,,,,,,,,,,17,
138.867614,clGetDeviceIDs|General,START,,,,,,,,,,,18,
138.877685,clGetDeviceIDs|General,END,,,,,,,,,,,18,
138.882884,clGetDeviceIDs|General,START,,,,,,,,,,,19,
138.888071,clGetDeviceIDs|General,END,,,,,,,,,,,19,
138.896975,clRetainDevice|General,START,,,,,,,,,,,20,
138.905284,clRetainDevice|General,END,,,,,,,,,,,20,
138.939525,clRetainDevice|General,START,,,,,,,,,,,21,
138.945591,clRetainDevice|General,END,,,,,,,,,,,21,
138.953432,clCreateContext|General,START,,,,,,,,,,,22,
200.140704,clCreateContext|General,END,,,,,,,,,,,22,
200.21644,clCreateProgramWithBinary|General,START,,,,,,,,,,,23,
4661.541077,clCreateProgramWithBinary|General,END,,,,,,,,,,,23,
4661.567997,clCreateCommandQueue|General,START,,,,,,,,,,,24,
4661.585593,clCreateCommandQueue|General,END,,,,,,,,,,,24,
4661.59673,clCreateKernel|General,START,,,,,,,,,,,25,
4662.885767,clCreateKernel|General,END,,,,,,,,,,,25,
4662.905196,clCreateBuffer|General,START,,,,,,,,,,,26,
4662.981988,clCreateBuffer|General,END,,,,,,,,,,,26,
4662.999291,clCreateBuffer|General,START,,,,,,,,,,,27,
4663.00762,clCreateBuffer|General,END,,,,,,,,,,,27,
4663.013127,clCreateBuffer|General,START,,,,,,,,,,,28,
4663.022097,clCreateBuffer|General,END,,,,,,,,,,,28,
4663.036367,clSetKernelArg|General,START,,,,,,,,,,,29,
4663.066405,clSetKernelArg|General,END,,,,,,,,,,,29,
4663.072997,clSetKernelArg|General,START,,,,,,,,,,,30,
4663.08397,clSetKernelArg|General,END,,,,,,,,,,,30,
4663.089402,clSetKernelArg|General,START,,,,,,,,,,,31,
4663.105105,clSetKernelArg|General,END,,,,,,,,,,,31,
4663.117925,clEnqueueMapBuffer|30963968,START,,,,,,,,,,,32,
4665.250872,clEnqueueMapBuffer|30963968,END,,,,,,,,,,,32,
4665.26472,clEnqueueMapBuffer|30963968,START,,,,,,,,,,,33,
4665.314893,clEnqueueMapBuffer|30963968,END,,,,,,,,,,,33,
4665.504659,clSetKernelArg|General,START,,,,,,,,,,,34,
4665.51193,clSetKernelArg|General,END,,,,,,,,,,,34,
4665.517174,clSetKernelArg|General,START,,,,,,,,,,,35,
4665.522594,clSetKernelArg|General,END,,,,,,,,,,,35,
4665.527203,clSetKernelArg|General,START,,,,,,,,,,,36,
4665.531911,clSetKernelArg|General,END,,,,,,,,,,,36,
4665.539264,clRetainMemObject|General,START,,,,,,,,,,,37,
4665.545552,clRetainMemObject|General,END,,,,,,,,,,,37,
4665.550555,clRetainMemObject|General,START,,,,,,,,,,,38,
4665.555622,clRetainMemObject|General,END,,,,,,,,,,,38,
4665.560387,clRetainMemObject|General,START,,,,,,,,,,,39,
4665.565338,clRetainMemObject|General,END,,,,,,,,,,,39,
4665.570001,clRetainMemObject|General,START,,,,,,,,,,,40,
4665.574587,clRetainMemObject|General,END,,,,,,,,,,,40,
4665.581374,clEnqueueMigrateMemObjects|30963968,START,,,,,,,,,,,41,
4665.59846,WRITE_BUFFER,QUEUE,0X0|bank1-bank2,32768,,,,,,,,,
4665.620284,WRITE_BUFFER,SUBMIT,0X0|bank1-bank2,32768,,,,,,,,,
4665.645492,clEnqueueMigrateMemObjects|30963968,END,,,,,,,,,,,41,
4665.655068,clReleaseMemObject|General,START,,,,,,,,,,,42,
4665.66197,clReleaseMemObject|General,END,,,,,,,,,,,42,
4665.664744,WRITE_BUFFER,START,0X0|bank1-bank2|0X7f8b6d112700,32768,,,,,,,2,None,
4665.669134,clReleaseMemObject|General,START,,,,,,,,,,,43,
4665.711681,clReleaseMemObject|General,END,,,,,,,,,,,43,
4665.732579,clReleaseMemObject|General,START,,,,,,,,,,,44,
4665.738757,clReleaseMemObject|General,END,,,,,,,,,,,44,
4665.743493,clReleaseMemObject|General,START,,,,,,,,,,,45,
4665.748213,clReleaseMemObject|General,END,,,,,,,,,,,45,
4665.754677,clWaitForEvents|General,START,,,,,,,,,,,46,
4665.769692,WRITE_BUFFER,END,0X0|bank1-bank2|0X7f8b6d112700,32768,,,,,,,2,None,
4665.805289,clWaitForEvents|General,END,,,,,,,,,,,46,
4665.818422,clEnqueueTask|30963968,START,,,,,,,,,,,47,
4665.846242,DEPENDENCY_EVENT,,3,4,
4681.326899,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|all,QUEUE,0X1D876F0,1,,,,,,,,,
4681.353713,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|all,SUBMIT,0X1D876F0,1,,,,,,,,,
4681.365567,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|all,START,0X1D876F0,1,,,,,,,4,None,
4681.448755,clEnqueueTask|30963968,END,,,,,,,,,,,47,
4681.468374,clReleaseEvent|General,START,,,,,,,,,,,48,
4681.481437,clReleaseEvent|General,END,,,,,,,,,,,48,
4681.490064,clWaitForEvents|General,START,,,,,,,,,,,49,
4681.586569,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|all,END,0X1D876F0,1,,,,,,,4,None,
4681.644427,clWaitForEvents|General,END,,,,,,,,,,,49,
4681.657314,clEnqueueMapBuffer|30963968,START,,,,,,,,,,,50,
4681.668583,READ_BUFFER,QUEUE,0X4000|bank1,16384,,,,,,,,,
4681.678044,READ_BUFFER,SUBMIT,0X4000|bank1,16384,,,,,,,,,
4681.715072,READ_BUFFER,START,0X4000|bank1|0X7f8b657fe700,16384,,,,,,,5,None,
4681.782306,READ_BUFFER,END,0X4000|bank1|0X7f8b657fe700,16384,,,,,,,5,None,
4681.814787,clEnqueueMapBuffer|30963968,END,,,,,,,,,,,50,
4682.114463,clEnqueueUnmapMemObject|30963968,START,,,,,,,,,,,51,
4682.129227,WRITE_BUFFER,QUEUE,0X0|bank1,16384,,,,,,,,,
4682.138195,WRITE_BUFFER,SUBMIT,0X0|bank1,16384,,,,,,,,,
4682.156817,clEnqueueUnmapMemObject|30963968,END,,,,,,,,,,,51,
4682.164086,clEnqueueUnmapMemObject|30963968,START,,,,,,,,,,,52,
4682.172908,DEPENDENCY_EVENT,,6,7,
4682.178743,WRITE_BUFFER,QUEUE,0X400000000|bank2,16384,,,,,,,,,
4682.182986,WRITE_BUFFER,START,0X0|bank1|0X7f8b64ffd700,16384,,,,,,,6,7,
4682.194512,clEnqueueUnmapMemObject|30963968,END,,,,,,,,,,,52,
4682.240462,clEnqueueUnmapMemObject|30963968,START,,,,,,,,,,,53,
4682.260586,DEPENDENCY_EVENT,,7,8,
4682.266006,WRITE_BUFFER,QUEUE,0X4000|bank1,16384,,,,,,,,,
4682.273868,clEnqueueUnmapMemObject|30963968,END,,,,,,,,,,,53,
4682.281965,clFinish|General,START,,,,,,,,,,,54,
4682.308904,WRITE_BUFFER,END,0X0|bank1|0X7f8b64ffd700,16384,,,,,,,6,7,
4682.327788,WRITE_BUFFER,SUBMIT,0X400000000|bank2,16384,,,,,,,,,
4682.354326,WRITE_BUFFER,START,0X400000000|bank2|0X7f8b64ffd700,16384,,,,,,,7,8,
4682.407952,WRITE_BUFFER,END,0X400000000|bank2|0X7f8b64ffd700,16384,,,,,,,7,8,
4682.420529,WRITE_BUFFER,SUBMIT,0X4000|bank1,16384,,,,,,,,,
4682.440536,WRITE_BUFFER,START,0X4000|bank1|0X7f8b64ffd700,16384,,,,,,,8,None,
4682.469801,WRITE_BUFFER,END,0X4000|bank1|0X7f8b64ffd700,16384,,,,,,,8,None,
4682.496091,clFinish|General,END,,,,,,,,,,,54,
4682.560496,clReleaseEvent|General,START,,,,,,,,,,,55,
4682.568909,clReleaseEvent|General,END,,,,,,,,,,,55,
4682.57428,clReleaseMemObject|General,START,,,,,,,,,,,56,
4682.580124,clReleaseMemObject|General,END,,,,,,,,,,,56,
4682.585088,clReleaseMemObject|General,START,,,,,,,,,,,57,
4682.589774,clReleaseMemObject|General,END,,,,,,,,,,,57,
4682.594421,clReleaseMemObject|General,START,,,,,,,,,,,58,
4682.599015,clReleaseMemObject|General,END,,,,,,,,,,,58,
4682.605364,clReleaseKernel|General,START,,,,,,,,,,,59,
4682.625488,clReleaseKernel|General,END,,,,,,,,,,,59,
4682.633742,clReleaseCommandQueue|General,START,,,,,,,,,,,60,
4682.640386,clReleaseCommandQueue|General,END,,,,,,,,,,,60,
4682.646664,clReleaseProgram|General,START,,,,,,,,,,,61,
4681.456283,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|mmult_1,START,,1,1,
4681.493507,KERNEL|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|1:1:1|mmult_1,END,,1,1,
4681.456595,Kernel_Read|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|mmult_1|m_axi_aximm2-DDR[2]|DDR,Read,Input_2,18,17,17311636,17311653,0.068,4681.456595,4681.456663,
4681.456595,Kernel_Read|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|mmult_1|m_axi_aximm1-DDR[1]|DDR,Read,Input_1|Output,18,17,17311636,17311653,0.068,4681.456595,4681.456663,
4681.456667,Kernel_Read|xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult|mmult|mmult_1|m_axi_aximm2-DDR[2]|DDR,Read,Input_2,16,15,17311654,17311669,0.06,4681.456667,4681.456727,
